composer,state,weight
"Adams, John",Alabama,1
"Adler, Samuel",Alabama,3
"Aitken, H.",Alabama,1
"Akers, H.E.",Alabama,4
"Akey, Douglas",Alabama,24
"Alberty, Craig",Alabama,3
"Albinoni, Tomaso",Alabama,1
"Alford, Kenneth",Alabama,1
"Allen, Fred J.",Alabama,6
"Andrews, James",Alabama,1
"Andrieu, Fernand",Alabama,1
"Applebaum, Stan",Alabama,1
"Arbeau, Thoinot",Alabama,1
"Arcari, Tyler",Alabama,4
"Archer, Kimberly",Alabama,1
"Arnold, Malcolm",Alabama,12
"Aronson, Lee",Alabama,1
"Bach, J.S.",Alabama,49
"Baker, Craig",Alabama,2
"Balay, Guillaume",Alabama,1
"Balázs, Árpád",Alabama,1
"Balent, Andrew",Alabama,10
"Balmages, Brian",Alabama,14
"Bankston, Brian",Alabama,1
"Barber, Clarence",Alabama,3
"Barber, Samuel",Alabama,1
"Barker, Warren",Alabama,4
"Barnard, Mark",Alabama,1
"Barnes, James",Alabama,26
"Barrett, Roland",Alabama,16
"Bartok, Bela",Alabama,5
"Bassett, Leslie",Alabama,1
"Beckham, Dwight",Alabama,1
"Beeler, Walter",Alabama,1
"Beethoven, Ludwig van",Alabama,11
"Behrman, Tracy",Alabama,1
"Bell, Jeremy",Alabama,4
"Bellini, Vincenzo",Alabama,2
"Bender, Mitchell",Alabama,1
"Bennett, Richard Rodney",Alabama,2
"Bennett, Robert Russell",Alabama,2
"Benson, Warren",Alabama,3
"Berlioz, Hector",Alabama,9
"Bernotas, Chris",Alabama,8
"Bernstein, Leonard",Alabama,8
"Beyer, Fredrick",Alabama,1
"Biebl, Franz",Alabama,1
"Bilik, Jerry",Alabama,4
"Billings, William",Alabama,1
"Bizet, Georges",Alabama,2
"Black, Dave",Alabama,4
"Blocher, Larry",Alabama,1
"Bobrowitz, David",Alabama,4
"Bocook, Jay",Alabama,6
"Borodin, Alexander",Alabama,8
"Bortniansky, Dmitry",Alabama,1
"Bourgeois, Derek",Alabama,1
"Bowles, Richard",Alabama,1
"Boysen, Andrew",Alabama,4
"Brahms, Johannes",Alabama,10
"Brand, Michael",Alabama,1
"Bremer, Carolyn",Alabama,1
"Brien, Colin",Alabama,1
"Brink, Paul",Alabama,1
"Broege, Timothy",Alabama,7
"Broughton, Bruce",Alabama,1
"Brown, Richard E.",Alabama,2
"Bruckner, Anton",Alabama,4
"Buchtel, Forrest",Alabama,5
"Buckley, Robert",Alabama,3
"Bulla, Stephen",Alabama,8
"Butts, Carrol",Alabama,1
"Buys, Peter",Alabama,1
"Byrd, William",Alabama,5
"Cacavas, John",Alabama,9
"Cailliet, Lucien",Alabama,2
"Calhoun, Bill",Alabama,3
"Campbell, Chris",Alabama,1
"Camphouse, Mark",Alabama,9
"Campo, David",Alabama,1
"Carter, Charles",Alabama,13
"Caruso, John",Alabama,1
"Catel, Charles-Simon",Alabama,1
"Caudill, Jim Andy",Alabama,1
"Cesarini, Franco",Alabama,1
"Chabrier, Emmanuel",Alabama,3
"Chambers, Carol Brittin",Alabama,3
"Chance, John Barnes",Alabama,5
"Chantry, Benoit",Alabama,1
"Chattaway, Jay",Alabama,4
"Cheetham, John",Alabama,1
"Chernov, Gennadi",Alabama,1
"Chidester, Lawrence",Alabama,1
"Chisman, Daniel",Alabama,1
"Chobanian, Loris",Alabama,1
"Christiansen, Carl",Alabama,3
"Christopher, Keith",Alabama,1
"Cichy, Roger",Alabama,4
"Ciechomski, Brad",Alabama,1
"Clark, Larry",Alabama,25
"Clark, Reber",Alabama,1
"Cofield, Frank",Alabama,1
"Coles, Jay",Alabama,1
"Colgrass, Michael",Alabama,4
"Colonna, Jim",Alabama,1
"Compello, Joseph",Alabama,5
"Conaway, Matt",Alabama,1
"Conley, Lloyd",Alabama,2
"Conner, Mark",Alabama,1
"Connery, Brian",Alabama,1
"Copland, Aaron",Alabama,7
"Corelli, Arcangelo",Alabama,3
"Corigliano, John",Alabama,1
"Court, Douglas",Alabama,8
"Cramer, Ray",Alabama,1
"Creston, Paul",Alabama,3
"Crump, Robert",Alabama,1
"Curnow, James",Alabama,51
"Custer, Calvin",Alabama,9
"Daehn, Larry",Alabama,7
"Dahl, Ingolf",Alabama,2
"Danielpour, Richard",Alabama,1
"Daniels, Melvin",Alabama,1
"Danner, Greg",Alabama,1
"Daquin, L.C.",Alabama,1
"Darcy, Thomas",Alabama,1
"Daugherty, Michael",Alabama,1
"Daughtrey, Nathan",Alabama,1
"Davis, Albert O.",Alabama,9
"Dawson, Jay",Alabama,2
"de Cabezon, A.",Alabama,2
"de Haan, Jacob",Alabama,5
"de Meij, Johan",Alabama,4
"De Nardis, Camille",Alabama,1
"De Rubertis, Nicholas",Alabama,3
