Orch,Comp,Weight,Comp.Gen
Akron Symphony Orchestra,"Bach, J.S.",1,1
Akron Symphony Orchestra,"Beethoven, Ludwig van",3,1
Akron Symphony Orchestra,"Clyne, Anna",1,2
Akron Symphony Orchestra,"Daniels, Mabel",1,2
Akron Symphony Orchestra,"Dawson, William Levi",1,3
Akron Symphony Orchestra,"Dvořák, Antonín",1,1
Akron Symphony Orchestra,"Ellington, Duke",1,3
Akron Symphony Orchestra,"Handel, George Frideric",1,1
Akron Symphony Orchestra,"Haydn, Franz Joseph",2,1
Akron Symphony Orchestra,"Needham, Clint",1,1
Akron Symphony Orchestra,"Newmaster, Kyle",1,1
Akron Symphony Orchestra,"Perry, Julia",1,4
Akron Symphony Orchestra,"Price, Florence",2,4
Akron Symphony Orchestra,"Rachmaninoff, Sergei",1,1
Akron Symphony Orchestra,"Romero, Aldemaro",1,1
Akron Symphony Orchestra,"Sonnenberg, Jon",1,1
Akron Symphony Orchestra,"Stravinsky, Igor",1,1
Albany Symphony Orchestra,"Beethoven, Ludwig van",1,1
Albany Symphony Orchestra,"Brahms, Johannes",1,1
Albany Symphony Orchestra,"Corigliano, John",1,1
Albany Symphony Orchestra,"Cuong, Viet",1,3
Albany Symphony Orchestra,"Fauré, Gabriel",1,1
Albany Symphony Orchestra,"Fung, Vivian",1,4
Albany Symphony Orchestra,"Glazunov, Alexander",1,1
Albany Symphony Orchestra,"Haydn, Franz Joseph",1,1
Albany Symphony Orchestra,"Kendall, Hannah",1,4
Albany Symphony Orchestra,"Lamb, Alexis",1,2
Albany Symphony Orchestra,"León, Tania",1,4
Albany Symphony Orchestra,"Montgomery, Jessie",1,4
Albany Symphony Orchestra,"Mozart, Wolfgang Amadeus",1,1
Albany Symphony Orchestra,"Prokofiev, Sergey",1,1
Albany Symphony Orchestra,"Rimsky-Korsakov, Nikolay",1,1
Albany Symphony Orchestra,"Rouse, Christopher",2,1
Albany Symphony Orchestra,"Shekhar, Nina",1,4
Albany Symphony Orchestra,"Sibelius, Jean",2,1
Albany Symphony Orchestra,"Strauss, Richard",1,1
Albany Symphony Orchestra,"Tchaikovsky, Peter Ilich",2,1
Albany Symphony Orchestra,"Tsontakis, George",1,1
Albany Symphony Orchestra,"Walton, William",1,1
Albany Symphony Orchestra,"Williams, John",1,1
Allentown Symphony Orchestra,"Beethoven, Ludwig van",3,1
Allentown Symphony Orchestra,"Brahms, Johannes",1,1
Allentown Symphony Orchestra,"Dvořák, Antonín",1,1
Allentown Symphony Orchestra,"Farrenc, Louise",1,2
Allentown Symphony Orchestra,"Mendelssohn, Felix",1,1
Allentown Symphony Orchestra,"Prokofiev, Sergey",1,1
Allentown Symphony Orchestra,"Ravel, Maurice",2,1
Allentown Symphony Orchestra,"Respighi, Ottorino",1,1
Allentown Symphony Orchestra,"Rogerson, Chris",1,1
Allentown Symphony Orchestra,"Rutter, John",1,1
Allentown Symphony Orchestra,"Shostakovich, Dmitri",1,1
Allentown Symphony Orchestra,"Tchaikovsky, Peter Ilich",1,1
Amarillo Symphony,"Brahms, Johannes",1,1
Amarillo Symphony,"Mozart, Wolfgang Amadeus",2,1
Amarillo Symphony,"Price, Florence",1,4
Amarillo Symphony,"Rogerson, Chris",1,1
Amarillo Symphony,"Shostakovich, Dmitri",1,1
Anchorage Symphony,"Barber, Samuel",1,1
Anchorage Symphony,"Beethoven, Ludwig van",2,1
Anchorage Symphony,"Berlioz, Hector",1,1
Anchorage Symphony,"Boulanger, Lili",1,2
Anchorage Symphony,"Childs, Billy",1,3
Anchorage Symphony,"Copland, Aaron",1,1
Anchorage Symphony,"Dvořák, Antonín",1,1
