"","vector","value","options.bmat","options.n","options.which","options.nev","options.tol","options.ncv","options.ldv","options.ishift","options.maxiter","options.nb","options.mode","options.start","options.sigma","options.sigmai","options.info","options.iter","options.nconv","options.numop","options.numopb","options.numreo"
"GA",0.893667153212114,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"IN",1,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"TX",0.90006339728577,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Akers, Howard",0.028540858126403,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Akey, Douglas",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Alberty, Craig",0.0572859917417192,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Albinoni, Tomaso",0.028540858126403,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Allen, Fred J.",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Arbeau, Thoinot",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Arnold, Malcolm",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Ashe, Frederic",0.028540858126403,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Bach, J.S.",0.0892227794191204,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Balent, Andrew",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Balmages, Brian",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Barber, Samuel",0.0572859917417191,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
"Barker, Warren",0.0892227794191205,31.3118529672164,"I",808,"LA",1,0,0,0,1,1000,1,1,1,0,0,0,1,1,20,0,17
